Proverbs,Explanation
عُلُمَ الدهر و لا عُلُمَ الوالدين,عُلُمَ يعني تعليم و تربية يأتي المثل بمعنى أن تعلمنا تجاربنا طوال حياتنا أكثر تأثيرا مما نتعلمه من أي شخص آخر، بما في ذلك آباؤنا. بينما يرشدنا الآباء ويعلموننا دروسًا مهمة في هذه الحياة، الا أن التحديات والأخطاء والنجاحات التي نواجهها بمفردنا هي التي تشكلنا حقًا. يساعدنا الوقت على فهم الأشياء بعمق، ورؤية وجهات نظر مختلفة، والنمو بشكل أكثر حكمة. في الجوهر، إن العيش في لحظات مختلفة من الحياة يعلمنا أكثر مما يمكن لأي شخص أن يعلمه إيانا.
حبه بحه والحب يكتال.,يضرب عند تساوي الأمور.
الوحدة عبادة,أو بالفصيح “الوحدة خير من جليس السوء”و يعني هذا المثل أنه من الأفضل أن نعيش في وحدة بدلاً من أن نكون بصحبة أشخاص سيئين قد يؤذوننا أو قد يجلبون لنا أشياء تضرنا. المثل يأتي كتذكير بأن جودة العلاقات أهم من الكمية.
إذا نزل القدر عمي البصر,المثل يأتي بمعنى أن ما قدره الله سيكون، و وقت نزول القدر لا يمكن لأي شي أن يغيره.
الزوج لانتي قوية والاخ لانتي غنية والاب لانتي بلية,لانتي – إذا انتي بلية – يعني ضعيفة يأتي هذا المثل بمعنى أن الزوج لا يفتخر بزوجته إلا إذا كانت قوية. و الأخ لا يهتم بأخته إلا إذا كانت غنية. و الأب لا يهتم و يحنو على بنته الا اذا كانت ضعيفة و مسكينة. لذلك يقولون “الأب هو أول بطل في حياة بناته”. المثل يضرب في الحالات النادرة الحدوث.
بكر ولا لصي ما معه إلا الصره والنصفي.,يضرب المثل في الرضا با هو مقدور وحاصل. بكر: أسرع في البكور ولم يشعل النار، الصرة: ما يوضع داخلها القوت، النصفي: الذي يستخدم لوزن الحبوب.
يا متصدق بالمرق أهل بيتك أحق,يضرب هذا المثل في من يتصدق على الآخرين و أهل بيته أحوج للصدقة. حيث يشجع هذا المثل الناس على إعطاء الأولوية لأن يكونوا طيبين و كرماء مع اقاربهم في المقام الأول قبل توسيع نطاق لطفهم و كرمهم مع الآخرين.
حارك القريب ولا ابن عمك العيد.,يضرب للحث على مودة الجار.
من أعجبته بضاعته بارت,يضرب هذا المثل لمن يحرص في الاحتفاظ ببضاعته انتظارا منه لارتفاع اسعارها فتنتهي بضاعته إلى الكساد.
من حسب الدية ما قتل,بمعنى من فكر في الدية فإنه يكف عن مطاوعة نفسه بالاعتداء على خصمه بالقتل
الشراع بشرع لعمري والحطبه بحطبه.,يضرب للذي يستغني بنفسه عن غيره. الشراع: تمكين حلة العصيد فوق الأحجار عند طبخ العصيد، لعمري: لنفسي.
عزوا بمن فقد عقله ولا تعزوا بمن مات.,يضرب للمجنون أو الذي يتصرف كالمجنون.
الخبازه تعرف وجه المتغدي.,يضرب لمن يعمل عملا ويرى أثره في الشخص الذي استفاد منه. الخبازة: المرأة التي تعمل الخبز، المتغدي: الشخص الذي يأكل الغداء.
كلب السوق ما يرعى غنم,"كَلْبُ اَلسُّوقِ مَا يَرْعَى غَنَم يعني هذا المثل أن الاشخاص الذين اعتادوا على بيئة معينة قد يفتقرون إلى المهارات أو الخبرة اللازمة للمهام المرتبطة بالحياة في بيئة مختلفة. وبمعنى أوسع، فهو يؤكد فكرة أن الأشخاص غالبًا ما يتفوقون في المجالات التي لديهم معرفة وخبرة فيها، لكنهم قد يكافحون أو يكونون غير فعالين عندما يواجهون مهام أو تحديات خارج نطاقهم المعتاد. يعد هذا المثل بمثابة استعارة للقيود التي يمكن أن تنشأ عندما يكون الأفراد خارج نطاق إستطاعتهم أو يحاولون القيام بأنشطة ليسوا مناسبين أو مدربين عليها. أمثال مشابهة . , . . , ."
يا راقصة في الغدرا محد يقلش ياسين,يضرب هذا المثل لمن يجهد نفسه في عمل ما لكن لا يحس به أحد، قد يكون بسبب توقيت الفعل و مكانه و حيثياته.
فلان مثل خُنَيس,خُنَيس : لقب يطلق على الثعلب في مناطق خبان وما حولها. و خُنَيس لفظة تطلق على الشخص كثير المراوغة والاختفاء والتقلُب في المواقف كما هو الحال في الثعلب عندما يختفي من أمام عينيك في وضح النهار. والخنوس في معاجم اللغة معناه الاختفاء ويقال بالعامية في نفس المنطقة : فلان اختنس، أي اختفى.
لا كثر أمطباخين عطل أمزاد.,يضرب لكثرة الآراء غير الصائبة التي تفسد الأمر. أمزاد: العصيد.
لبج الخي يفهم الجمل.,للدلالة عل الإيجاء وعدم المباشرة في اللوم أو المدح.
من جيز البل يا بعير.,يقال للشخص الذي يشبه من حوله أو يتأثر بهم. جيز: مثل، البل: الإبل، البعير: الجمل.
مابش بيت إلا و فيه حمام,مابش بيت إلا و فيه حمام بمعنى أن في كل عائلة هناك شخص يكون غير أهله في الطباع و الأخلاق. و مثله ولا بيت إلا وفيبه زولي.
من احتاج للصوف جَزَّ الكلب,جَزَّ الكلب – جَزَّ صوف الكلب. يعني هذا المثل أنه عندما تصبح الحاجة لشيء ما ملحة للغاية، سيفعل الناس كل ما هو ضروري لتوفير تلك الحاجة، بغض النظر عما إذا كان يبدو ذاك الشيء معقولاً أم لا.
جت منك يا بيت الله,جت : جاءت ، ويضرب المثل لمن يبرر إهماله للواجب بعذر غير مقبول …. أصل المثل أن رجلاً كان يفضل الصلاة في بيته .. ولما اقنعه و ألح عليه اصحابه بالصلاة في المسجد سار مغصوب متكلف ..فوجد باب المسجد مغلق فقال جت منك يا بيت الله..
من له مهرة ما مل خزاها.,يقال لصاحب العمل الذي يتحمل عيوب مهنته. مهرة: عمل، خزاها: الخزى وهو الشيء القبيح.
ريتك من ضرب كلكته بلاد النامس.,يقال للتمني بالسوء لشخص ما. كلكته: منطقة في الهند.
رأس حنش ولا سلة عرادين.,يضرب لمن اعتمد على رجل شجاع مقدام خير من غيره المترددين. سلة: كيس، عرادين: حيوان صغير يشبه الضب، وسلة عرادين كناية عن الكثرة غير المجدية.
استنجب الخال يأتيك الولد أما الصبايا على عماتها,اسْتَنْجَبَ – تخير النجيبَ.بمعنى اختر زوجتك المستقبلية بحكمة، فقد يحذو أبناؤك حذو أخوالهم، بينما قد تشبه بناتك عماتهن.الروايات الاخرى للمثل:“استنسب الجيد يأتيك الولد و البنت تأتي على عماتها”“اتنسب الخال يأتيك الولد لعماتها. والبنت تأتي على عماتها”“اختار الخال يأتيك الولد”“استنسب الخال يأتيك الولد والبنت تأتي لعماتها”“انسب الخال يأتيك الولد وانسب العمه تأتيك البنيه”“تنخب الخال يأتيك الولد”“تنسب الخال يأتيك الولد والبنت و البنت تجي لعماتها”
قصاص الغيب وهم لا يعلمون,يضرب المثل في القاتل الذي ينجو من القصاص ويموت قتلاً ويقابله المثل القائل “بشر القاتل بالقتل ولو بعد حين ” أو “قضى لما مضى” وقصة المثل أن جندياً نظامياً من جنود الإمام يحيى حميد الدين قتل رجلاً وحكم عليه بالقصاص فتدخل الأمير علي بن يحيى بن حميد الدين وأرضى أولياء الدم ولم يكن الناس عندهم الجرأة على رد تدخل أحد من الأمراء فعاش الجندي عند الامير علي وكلفه بالإهتمام بحديقته وفي أحد الأيام تعطلت المضخة فنزل الجندي لإصلاحها فسقطت الحديدة عليه وفصلت رأسه عن جسده كمايفعل السياف بالقصاص.
ما عاد عود يرجع قعود.,يقال لمن يتقدم في العمر ولا يمكنه العودة كما كان صغيرًا. عود: كبير السن، قعود: ابن الجمل.
أشقب الرجال من عادى الــــــرجال,المثل يأتي بمعنى أن أشقى الناس من يعادي كل الناس و ما يخلي له لا صديق و لا صاحب.
من حب نفسه شنيوه الناس,من حب نفسه شنيوه الناس
قال احلب الربح، قال خايل لا نعفته.,يضرب لمن ليس من أخلاقه فعل المعروف فلا يرجى منه خير. الربح: القرد، خايل: انظر، نعفته: صورته فهل ترجو حلبًا من القرد.
الكسوة ريش و المأكل حشيش,"الكسوة ريش و المأكل حشيش يقال هذا المثل في الحرص على الظهور بالشكل المناسب. ويدل أيضا أن بعض الأشخاص قد يتزين بما لا يناسبه أو يتباهى بما ليس له ويشبهه بمن يلبس الريش بينما هو يأكل الحشيش – طعام الحيوانات وهو لا ينتمي إلى أي منهما. وينطبق على المتصنع والمتكبر والمتظاهر بالفضل والمكانة. ويحذر من الانخداع بالمظاهر الزائفة والزينة المستعارة. وينصح بالصدق والوفاء والتواضع والرضا بالقسمة. أمثال مشابهة , , . ’ ; ."
كؤزوز ولا ظلمه.,الشيء القليل خير من العدم. والكؤزوز: الضوء الخافت.
يا خيطة أمانتك البيضة,"يا خيطة أمانتك البيضة يعبر هذا المثل المجازي عن فكرة الاعتماد على شيء هش أو شخص ماغير موثوق لحماية شيء قيم أو مهم. بالإنجليزية , , . ."
أرزاق مش على البِكَّاْرَة,يأتي هذا المثل بمعنى أن الحياة أحيانا تأتي بالحظوظ و ليس بالجهد و بمن يبكِّر أولاً. هذه ليست قاعدة عامة و لكن بعض الأشخاص قد يحالفهم الحظ أكثر من غيرهم.
ركبه وشقي له.,يضرب للشخص الذي تساعده فيطلب أجرا منك. ركبه: بمعنى أركبه، شقي: بمعنى أعطه أجره.
اعمل لك بكل وادي دار.,يضرب في أن المعروف ليس محصورا في مكان أو زمن معين، ويحث على تكثير الأصدقاء وفعل الخير حيثما حللت.
خلاه يرى أمه حريوه.,يضرب لقوة المتحدي والمتوعد. خلا: جعله أو تركه. حريوة: عروسة.
ما حليب يرجع ضرة,ضرة – ضرعيضرب هذا المثل في استحالة إعادة الأشياء إلى سابق عهدها. و غالبًا ما يتم استخدام هذا المثل في سياق العلاقات أو المواقف التي تكون منتهية و احتمالية عودتها إلى وضعها السابق مستحيلة.
حبتي ولا ذي نقمها.,يضرب للشخص الذي يتمسك بحقه حتى ولو أعطي أفضل. حبتي: من الحبوب. ولا: أو. نقمها: أكلها.
قال اكذب تنجا قال الصدق أنجا.,يضرب لمن يظن أن الكذب سينجيه من العقوبة.
من راعى للموت فضحته العافية,و يأتي هذا المثل بنفس معنى المثل القائل العافية ما تخفيش نفسها أي أن من يدعي المرض وهو صحيح معافى تفضحه العافية وتكشف للناس خداعه في التمارض
حقكم حق وحق الناس مرق,يضرب هذا المثل في الشخص الذي يدافع بقوة عن حقوقه عندما يكون له حق عند الآخرين. ومع ذلك، عندما تنقلب الأمور ويكون عنده حق للآخرين، فإنه غالبًا ما يتجاهل حقوقهم ويقلل من قيمتها.
ما سقينا به زحيك به.,للدلالة على تداعي الأحداث وتعميمها.
انزل يا رزق قال يتساعدوا أهل البيت,يؤكد المثل على أن التعاون بين أفراد الأسرة الواحدة يساهم في تحسين نوعية الحياة وزيادة الرزق لجميع الأفراد في الأسرة. .
أدّي لحبيبك موجودك.,أي لا تتكلف لصديقك شيئاً لا تطيقه، بل قدم ما عندك وإن كان قليلا.
ما طبيب طب عمره.,يضرب على عدم قدرة الطبيب دفع المرض عن نفسه أو علاجه في الغالب.
آخر التجنان الجنان,بمعنى إن من يدعي أنه مجنون يصاب بالحنون ومثله المقوله لا تمارضوا فتمرضوا
هين قرشك ولا تهين نفسك,"هين قرشك ولا تهين نفسك يضرب في وجوب الدفاع عن كرامة المرء ببذله المال. و أن لا يجعل المال سبب في إهانة كرامته لان المال من إسمه يميل من ناس إلى ناس و إذا راح المال جاء غيره لكن الكرامة إذا راحت ما ترجعها كنوز قارون. ’ . , , ’ . , ."
ترك الحق زندقة,ترك الحق زندقة بمعنى أن تجاهل الحقيقة أو الإعراض عن الحق لأي سبب كان يعتبر زندقة. و الزندقة هي النفاق. . . .
بَدَّل بحَرِيوَتِهِ عُظْمِي,حريوة – عروسةعُظْمِي – تشبيه للمرأة الكبيرة في السنيضرب هذا المثل في من يستبدل الشيء الحسن بشيء اسوأ منه.
من كثروا حرواها باره.,للدلالة عل فشل الهدف إذا كثرت الفرص.
من تبع الدجاج دخلته السفل,السفل :حضيرة البقر أو المكان الذي تعيش في البقرة هذا المثل يضرب في الجليس السوء بمعنى آخر من تبع عيال السوء سوف يكون منهم.
من غفل من شاته جابت طلي.,للدلالة عل ضرورة الاهتام با في حوزتك وعدم إهمالها.
الحليم تكفيه الإشارة,بمعنى أن الشخص النبيه يفهم الكلام بسرعة بديهة من دون الإطالة. و في الفصيح العبد يقرع بالعصا والحر تكفيه الإشارة
ريتك من ضرب ماويه.,يقال لمن يتمنى حدوث شيء سيئ لشخص آخر. ماويه: منطقة في محافظة تعز.
صبر ساعة يؤمنك الدهر كله,يؤكد هذا المثل على فكرة أن مع الصبر و التحمل باستطاعة الإنسان أن يحقق النجاح و يضمن لنفسة السلام الداخلي.
المفارع له واحد,المفارع : من يتدخل لفك الاشتباك بين المتخاصمين بمعنى أن المفارع لا يسلم من ضربة تقع عليه خطأ من أحد المختصمين
جراده في مشفري خير لي من مئة بربوي.,يضرب لمن يقنع بالقليل المتيسر ويدع الكثير غير المتحقق. جراده: واحدة الجراد، مشفري: الشفتان، بربري: نوع من الماعز.
من روّج باع ، ومن إغلى أكله,يُضرب هذا المثل في الحث على القناعة من الربح بالشيء اليسير حتى يتسنى له بيع ما يخشى تلفه
حريوة في أمرضاح تكتب أو لا تكتب.,الكثّ على الإيمان بالقدر. حريوة: زوجة، أمرضاح: المقعد الذي تجلس عليه المرأة في ليلة فرحها.
كلاً حيره على من قدر وأنا حيري على حمار خالتي,ويعني إن كل شخص يتقوى على من هو أضعف منه وهو مثل من المناِطق الوسطى ويقال أن ولد كان يُضطهد ويُضرب من خالته زوجة أبيه ويخرج يضرب الحمار ويخرج غضبه عليه لأنه لايستطيع الرد عليها خوفا منها وكان يقول : كلا حيره على من قدر و أنا حيري على حمار خالتي
من شبرني ذرعته.,يقال في رد الجميل بأفضل منه.
بيت الله أولى بالمساكين,بيت الله أولى بالمساكين .
سائل يشتي بر.,يقال لكل شخص متسول يشترط العطاء. يشتي، يري.
الشركه مكوى يوم والزنه مكوى سنة والمره مكوى الدهر,والمفردات : المكوى : الورطة الشركة : اللحمه الزنة : الثوب المرة : الزوجة ويقصد بهذا المثل هو ضرورة الأختيار السليم في كل شئ حتى لا تتورط به وقد فصل المثل أن شرائك للحمه وهي سيئة تتورط بها يوم أو يومين والثوب إذا لم تحسن اختياره تتورط أو تلبسه عام كامل أما الزوجة الغير صالحه فهي ورطة العمر
دي ما شافك ما لامك.,للدلالة عل ضرورة الحضور قبل العتاب.
ما تغزي الا بقوم قد غزت، و الا فخلي المغازي لـأهلها,"مَا تَغْزِي إِلَّا بِقَوْمٍ قَدْ غَزَتْ ، وَإِلَّا فَخَلَّى اَلْمُغَازِي لِأَهْلِهَا المثل بمعنى لا تقم بالغزو إلا إذا كان لديك جيش متمرس في فنون الحروب والغزوات لتكون فرصة النصر في صالحك، وإلا فالأفضل ترك هذه المهمة للأشخاص المؤهلين لها. أمثال مشابهة ’ , . . . , . , ."
يدك بلقفه وأصبعه بعينك.,يضرب للشخص الذي تعمل معه خيرا ومعروفا فيجازيك بالعكس. لقفه: فمه.
الربح عند المخاطر,المخاطر – المجازفات أو المغامرات يأتي هذا المثل بمعنى أنه لتحقيق المكاسب الكبيرة أو الأرباح الهائلة، غالبًا ما يكون من الضروري المخاطرة والخروج من منطقة الراحة الخاصة بك. لكن في نفس الوقت، من المهم التركيز و التنبيه إلى أن المخاطرة يجب أن تكون مدروسة و حكيمة، حتى لا تتعرض حالتك المادية أو الشخصية للخطر ، يعني يجب أن يكون هناك حدود معينة للمخاطر لا ينبغي تجاوزها .
أنا في حنجك وأنت في قلفاع راسي,"أنا في حنجك وأنت في قلفاع راسي هذا المثل يعبر عن حقيقة مؤلمة في الحياة، وهي أن البعض لا يقدر الجهود التي تبذلها لمساعدتهم. في بعض الأحيان، عندما تقدم يد العون للآخرين، قد لا يقدرون هذه المساعدة كما يجب. بل وقد يصل الأمر إلى حد الإيذاء أو الإساءة إليك في المقابل، بدلاً من الشكر والامتنان. هذا المثل لا يعني أننا نتوقف عن مساعدة الآخرين، ولكن يجب أن نكون حذرين ونتعلم كيف نحافظ على حدودنا ونحمي أنفسنا. في النهاية، الأمر يتعلق بالتوازن بين العطاء والحفاظ على الذات. بالإنجليزية , . , . , , . , , . , . , ’ ."
شاة البلد تعشق التيس الغريب.,يضرب لمن تعاون مع الغريب وترك القريب.
لا تعلم لجعص المحادمه.,للدلالة عل عدم استفزاز المعروف بالسوء أو الهزل معه. لجعص بمعنى كثير الأسنان في الفم.
من جده محمد تبنجخ,مَنْ جَدِّهْ مَحَمَّدْ تِبَنْجَخْ اَلْمَثَل يَعْنِي مَنْ كَانَ جَدُّهُ اَلنَّبِيُّ فَإِنَّهُ يَتَّكِلُ عَلَى اَلنِّسَبِ وَيَفْعَلُ مَا يَشِتِّهي عَلَى أَسَاسٍ أَنَّ اَلنِّسَبَ سَوْفَ يَشْفَعُ لَهُ مِنْ فِعْلِ أَيِّ شَيْءٍ مُخَالِفٍ . وَ يُسَاقَ هذا المثل لَمِنْ يَرْتَكِبُ أَخْطَاءً قَبِيحَةً ظَنًّا مِنْهُ أَنَّهَا لَا تَكْتُبُ لِأَنَّهُ مِنْ نِسَبِ آلُ البَيْت.
خلاه يبسر أمه حريوة,أمثال مشابهة
ما يطن الفأس إلا من حجر.,يضرب لمن يعرف بالهدوء ثم يأتي يوم فيجدونه غاضبًا. يطن: يعطي صوتًا أي طنينا.
صيب البلاء قحطتين,"صيب البلاء قحطتين صيب بذرة قحطتين حبتين بذر يضرب هذا المثل في أن الشر و البلاء قد ينشىء من أشياء صغيرة تافهة. فالأمور الصغيرة التي نتجاهلها في الحياة اليومية قد تكون لها تأثيرات كبيرة في المستقبل. قد يكون هذا الأثر إيجابيًا أو سلبيًا، ولكن في كلتا الحالتين، يجب علينا أن نكون حذرين ونعي أن الأمور الصغيرة قد تكون لها تأثيرات غير متوقعة. في الواقع، هذا المثل يذكرنا بأن الأمور الصغيرة قد تكون أكثر أهمية مما نظن. فالأفعال الصغيرة التي نقوم بها يوميًا، مثل الابتسامة لشخص ما أو تقديم يد العون، قد تكون لها تأثير كبير على حياة الآخرين. وبالمثل، الأخطاء الصغيرة التي نرتكبها قد تؤدي إلى نتائج سلبية كبيرة. ومع ذلك، يجب أن لا نخاف من الأمور الصغيرة، بل يجب أن نتعلم منها ونستفيد منها. فالحياة مليئة بالتجارب والأخطاء، والأهم من ذلك هو القدرة على التعلم من هذه الأخطاء والنمو من خلالها. في النهاية، يجب أن نتذكر دائمًا أن الأمور الصغيرة قد تكون لها تأثيرات كبيرة. وبالتالي، يجب علينا أن نعي هذا الأمر ونتعامل مع الأمور الصغيرة بجدية. فقد يكون الشر والبلاء ناتج عن أمور صغيرة تافهة، ولكن بالمثل، قد يكون الخير والسعادة ناتجة أيضًا عن أمور صغيرة. بالإنجليزية , . , . . , , . , . , , , . , , , . , . , , ’ . , . , ’ . , . , , . , ’ . , ’ . ’ . , . ’ , . , ’ , ."
سِرَهْ في جحر كلب,سِرَهْ في جحر كلب يقال هذا التعبير عندما يواجه الشخص امور معقدة لا لها نهاية.
قبصة في جحر جمل,يستخدم هذا التعبير لوصف شيء صغير جدًا مقارنة بشيء أكبر بكثير. غالبًا ما يشير هذا التعبير إلى المواقف التي يقدم فيها الشخص بعمل شيء ما لا يحمل أي تأثير يذكر.
كل تأخير فيه خير إلا أمحراوة.,يقال لطلب الاستعجال بالزواج. أمحراوة: الزواج.
هدية الغرابي دوده.,يضرب للرجل البخيل الذي لا يأتي إلا بالقليل من الشيء.
كل واحد يظلم على قدر جهده,"كل واحد يظلم على قدر جهده هذا المثل يعبر عن الحقيقة المؤلمة للطبيعة البشرية، حيث يميل البعض إلى استغلال القوة والسلطة للضرر بالآخرين. ولكن يجب أن نتذكر دائما أن العدل هو الأساس الذي يجب أن تقوم عليه كل المجتمعات. . , . , ."
ثخي وزيدوا له قوق.,يضرب لمن فيه عيب وحاول التكبر. تخي: اسم لرجل مشهور بالتسول، قوق: اسم رجل كثير الفضول والتظاهر وهو فقير معدم.
حاسب ريح.,يقال هذا المثل عندما لا نتمكن من إمساك الشخص المسبب في الخلل أو المشكلة.
أجا المفارع من الشارع.,يقال هذا المثل لحل المشكلة وانفراج الأزمة بتدخل من الخارج.
اذكر الكلب و في يدك حجر,يشير هذا المثل إلى ظاهرة يطلق عليها في علم “ما وراء علم النفس” بالتخاطر حيث أن ذكر شخص ما يمكن أن يؤدي إلى ظهوره غير المتوقع بعد فترة وجيزة. كما لو أن مجرد ذكر اسم شخص ما له تأثير استدعاء. لذلك هذا المثل ينصح بالاستعداد لمواجهة الشر في حال ظهوره جراء هذه الظاهرة.
ابْنْ العَم على المَعْقَمْ وابْنَ النّاس على الرّأس,المَعْقَمْ : عتبة الباب. و المعنى نكرم البعيد على حساب القريب، مع أن الأقربون أولى بالمعروف
آح من السكوتي مُوتي ومن الرَّحِيمه يَانَا,من أمثال مدينة عدن ويعني : آح :كلمه تقال للشكوى من ألم جسمي أو نفسي السكوتي : الصموت الرحيمه : المرأه الوديعة المظهر يانا : ويحي و يُضرب هذا المثل لمن ظاهرة السكينه وباطنه الدهاء والمكر.
من شاهق إلى داهق إلى قباض الأرواح,شاهق: الجبل المرتفع.داهق: شديد. داهق اسم فاعل للفعل دهق، دهق الشيء بمعنى كسره وقطعه.يضرب هذا المثل لمن يوكل أمره إلى شخص فيحيله إلى شخص أخر و هكذا ولا يلقى أي نتيجة.
كنن و فجى,جملة كانت ترددها النساء في صنعاء و أصلها تركية و الكنن و الفجى بمعنى الغبن و القهر
من مشيخك واعور قالوا ما لقينا غيره.,يضرب للقوم الذين يولون أمرهم إنسانا سيئا لأنه أفضلهم.
من قال حقي غلب,بمعنى أن صاحب الحق يغلب كم منهو طال الزمان أو قصر. و يقال أيضا صاحب الحق سلطان.
يوم عرس العوره، يختزق الطبل.,يضرب هذا المثل عندما تسير الأمور باتجاه معاكس لرغبة الإنسان غير المحظوظ وغير الموفق.
ما يصلي المصلي، إلا وساهن مغفره.,يضرب هذا المثل حينما ينتظر المرء فائدة يرجوها من وراء قيامه بعمل ما.
حج وبياع مسابح.,للدلالة عل الخلط بين المهام والأعال.
دار الظالم خراب ولو بعد حين.,يضرب المثل في التعريض أن الجزاء من جنس العمل. دار الظالم: مجاز مرسل ذكر المحل ويريد الحال: حال الظالم، خراب: الدمار ويقصد به الجزاء، ولو بعد حين: ولو بعد وقت آجل.
أمحجر من أمقاع وأمدم من رأسك.,يقال للإنسان الذي لا يقبل النصيحة ويعود الضرر عليه. أم: أل التعريف في المنطقة الوسطى، أمقاع: الأرض.
راضيه بالموت يرضى بالحمى,يقال هذا المثل لمن يختار مكرهاً أخف الشرين
لا تسأل عن سوق أنت وارد إليه.,يضرب للشخص الذي يتلهف لمعرفة شيء سيصل إليه بالتأكيد.
كل ما يعجبك و إلبس ما يعجب الناس,"كل ما يعجبك و إلبس ما يعجب الناس يقال هذا المثل في الحرص على الظهور بالشكل المناسب. لكن الجانب الأخر من المثل أنه قد يشجع على التصنع و الرياء بلبس ما يحب الناس رؤيته لكنه في الحقيقة لا يعكس حقيقة الشخص. أمثال مشابهة , , . ’ ; ."
غرَّامة و لا ملك,"غرَّامة و لا ملك غرَّامة جمع غرَّام و هو الشخص الذي يدفع الغُرُمْ و هو مبلغ من المال يدفعه كل شخص في القبيلة في حالة أن شخص من القبيلة أحتاج إلى مساعدة كدفع الدية مثلا. و المثل يعني أن الغرَّامة يقومون بعمل أفضل بكثير مما قد يعمله الملك لمسكين ما. بالإنجليزية . , , . ."
قد سار من كل شي أحسنه حتى السرق,يقال ان احد الفقهاء في جامع من جوامع صنعاء القديمه احب ان يصتفي يعني يدخل المصافي حق الجامع ويتغسل ولهن تسمية اخرى المطاهير خلس ثيابة استعداد لصفي جسمه وحطهن فوق الجدر حق المطاهير ودخل يفعل غطسه ماخرج الا وماعدبش ثياب سرقوهن فلم يجد الفقيه مايلبس ولم يجد احد في المطاهير كي يخبره بما حصل. مر الوقت واذا بأهل الفقيه دخلوا اليه ولديهم ثياب ففرح الفقيه وسألهم كيف عرفتم ان ثيابي سرقت قالوا رجال دق علينا وقال الفقيه سرقوا لداته فضحك الفقيه وقال ماهذا الا سارق طيب مارضي عليا اجلس مخلوس بين البرد المهم بعد فترة طويله حدث نفس الموقف مع نفس الفقيه وسرقوا ثيابه مره ثانيه والفقيه اطمن ان السارق ساع المره الاوله ماعيخليه مخلوس بين البرد ولكن هذه المره طال انتظار الفقيه ولم يأتي احد من اهله وخرج مخلوس قدام الناس يصيح للناس يستروه وبعد ماستروه سألوه مالك قال قد سار من كل شي احسنه حتى السرق…
داو الحمار من رونه.,يضرب لمن أساءوا إليه ويرد الإساءة بمثلها. داو: عالج. روثه: الغائط.
سيف الدولة طــــــويل قال: سـيف الحراف أطول,الحراف – الفقريؤكد هذا المثل على أن الأشخاص المحرومين أو المحتاجين في هذه الحالة، الذين يتضورون جوعا يمكن أن يصبحوا قوة جبارة، وربما أقوى من سلطة دولتهم. ويؤكد فكرة أن الاحتياجات الأساسية، مثل الغذاء، ضرورية للحفاظ على الاستقرار والنظام الاجتماعي. إذا لم يتم تلبية هذه الاحتياجات، يمكن أن يؤدي ذلك إلى الاضطرابات والصراعات.
حافظ على الصديق ولو في الحريق.,يضرب المثل في شدة الاهتمام والحرص. في الحريق: كناية عن صعوبة الموقف، بمعنى ولو كان في أصعب المواقف.
دخل بسحي وخرج بزقي.,يضرب المثل لمن أتى إليه رجل ذليل وأكرمه وبعد حين تنكر لإكرامه. بسحي: كناية عن التواضع، بزقي: كناية عن النكران.
الثور لما يتمدد، تكثر سكاكينه.,يضرب هذا المثل، عندما يكثر الناس من ذكر مثالب وسوءات إنسان، بعد نكبة ألمت به ولم تذكر قبل ذلك.
سبع سنين خضرا قالت: انا بساعتي الغبرا”,يضرب هذا المثل في من يعد و يُمَنِّيَ شخص ما بأشياء كثيرة لكن الحاجة هي في تلك اللحظة. و يضرب في من يهتم باللحظة و لا يشغل باله بالمستقبل.
ربِّي الحنش يصبح لك غريم,الحنش – ذكر الأفعى.غريم – عدو.يضرب هذا المثل عند إظهار اللطف و المساعدة لشخص يصبح ناكرًا للجميل أو مؤذي. بمعنى أخر يُضرب هذا المثل لمن يجازي الإحسان بالإساءة.
من أبوه الثور بتل,بتل – حرثيستخدم هذا المثل للتأكيد على فكرة أن الابن غالبًا ما يتصرف أو يكون له صفات مشابهة لأبيه. ويشير إلى أن الأطفال غالبًا ما يقلدون سلوكيات آبائهم أو عاداتهم أو سماتهم. لذا، إذا رأيت ابنًا يتصرف بطريقة معينة، فمن المحتمل أن والده تصرف بطريقة مماثلة. غالبًا ما يستخدم هذا لتسليط الضوء على السمات الإيجابية والسلبية التي تنتقل من جيل إلى جيل.
من جالس جانس,يضرب هذا المثل في الحث على اختيار الصديق الصالح لما لمعاشرة الاخيار أو الأشرار من أثر في السلوك والطباع
أكل اللحم ودس العظام في جحر عِرَيْجْ,عريج: تصغير عِرْجْ بمعنى ضبع.يضرب هذا المثل في من يرتكب ذنبا و يلصق التهمة في غيره لينجو من العقوبة.
أَخْرَجْ فيه عُيُوب البَغْله.,البَغْله : أنثى الحمار يُضرب هذا المثل لمن يُفرط في ذم شخص أو شيء لغرض في نفسه.
السكوت علامة الرضا,يعني هذا المثل أنه عندما تظل ساكت بشأن شيء ما، فهذا يعني أنك راضي عن ذاك الشيء. بمعنى آخر، من خلال عدم التحدث ضد شيء ما، قد يُنظر إليك على أنك توافق عليه.
سهد و مهد,سهد و مهد يضرب هذا المثل في وصف وفرة الرخاء و الخير و انتشاره بين الناس. و مثله سهود و مهود.
مثل مشقية المريب.,يضرب للرجل الذي يعمل من دون مقابل. المريب: إبرة الخياطة.
